price,28.652,152.109,12.333
"price, amount ",47.647,405.275,20.131
"price, amount, d1_price ",70.761,511.584,22.618
"price, amount, d1_price, d1_origin_price ",20.500,78.638,8.868
"price, amount, d1_price, d1_origin_price, p_banana_d1_price ",49.433,478.797,21.881
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, p_banana_d1_amount ",61.402,410.739,20.267
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, exchange_rate_price ",19.220,80.559,8.975
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price ",54.546,431.978,20.784
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",27.278,102.830,10.141
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day ",78.325,463.201,21.522
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day, lunar_day_for_price ",42.986,279.136,16.707
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",49.971,430.681,20.753
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount ",61.804,473.552,21.761
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount, d5_avg_price ",49.866,349.107,18.684
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price ",54.655,337.551,18.373
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, exchange_rate_price ",46.985,445.188,21.099
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, t_month_price ",48.773,428.043,20.689
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",41.542,194.118,13.933
"price, d1_price ",24.232,118.431,10.883
"price, d1_price, d1_origin_price ",24.481,146.872,12.119
"price, d1_price, d1_origin_price, p_banana_d1_price ",20.447,116.679,10.802
"price, d1_price, d1_origin_price, p_banana_d1_price, d5_avg_price ",21.685,155.075,12.453
"price, d1_price, week_day ",28.091,180.142,13.422
"price, d1_price, d1_origin_price, week_day ",23.408,112.219,10.593
"price, d1_price, d1_origin_price, p_banana_d1_price, week_day ",19.491,89.172,9.443
"price, d1_price, lunar_day_for_price ",20.833,110.188,10.497
"price, d1_price, d1_origin_price, lunar_day_for_price ",18.376,111.182,10.544
"price, d1_price, d1_origin_price, p_banana_d1_price, lunar_day_for_price ",17.027,99.701,9.985
"price, d1_price, week_day, lunar_day_for_price ",20.274,108.996,10.440
"price, d1_price, d1_origin_price, week_day, lunar_day_for_price ",21.601,113.349,10.647
"price, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",20.199,103.813,10.189
